sequenceID	m49_country.display_name	gb_length	non_n_length	gb_genotype	recogniser_genotypes	reverse_complement	rotation
DQ859334	United States	284	283	-	A	TRUE	0
DQ859335	United States	235	230	-	D	TRUE	0
DQ859336	United States	241	237	-	A	TRUE	0
DQ859337	United States	289	284	-	F	TRUE	0
DQ859338	United States	259	255	-	D	TRUE	0
DQ859339	United States	253	249	-	D	TRUE	0
DQ859340	United States	251	248	-	D	TRUE	0
DQ859341	United States	299	295	-	D	TRUE	0
DQ859342	United States	239	235	-	A	TRUE	0
DQ859343	United States	251	246	-	D	TRUE	0
DQ859344	United States	240	236	-	A	TRUE	0
DQ859345	United States	241	237	-	F	TRUE	0
DQ859346	United States	249	246	-	D	TRUE	0
DQ859347	United States	248	246	-	D	TRUE	0
DQ859348	United States	248	246	-	D	TRUE	0
DQ859349	United States	237	232	-	A/D	TRUE	0
DQ859351	United States	256	255	-	A	TRUE	0
DQ859352	United States	251	249	-	D	TRUE	0
DQ859353	United States	227	225	-	D	TRUE	0
DQ859354	United States	244	242	-	D	TRUE	0
DQ859355	United States	225	223	-	A	TRUE	0
DQ859356	United States	242	237	-	D	TRUE	0
DQ859357	United States	251	243	-	D	TRUE	0
DQ859358	United States	251	248	-	A	TRUE	0
DQ859359	United States	243	238	-	D	TRUE	0
DQ859360	United States	257	251	-	D	TRUE	0
DQ859361	United States	206	203	-	A	TRUE	0
DQ859362	United States	259	256	-	D	TRUE	0
DQ859363	United States	251	246	-	D	TRUE	0
DQ859364	United States	244	238	-	D	TRUE	0
DQ859366	United States	253	248	-	D	TRUE	0
DQ859367	United States	262	257	-	D	TRUE	0
DQ859368	United States	260	256	-	A	TRUE	0
DQ859369	United States	266	264	-	A	TRUE	0
DQ859370	United States	256	248	-	D	TRUE	0
DQ859371	United States	273	266	-	D	TRUE	0
DQ859372	United States	275	274	-	A	TRUE	0
DQ859373	United States	244	239	-	D	TRUE	0
DQ859374	United States	243	241	-	D/F	TRUE	0
DQ859375	United States	221	220	-	D	TRUE	0
DQ859376	United States	239	238	-	A	TRUE	0
DQ859377	United States	245	241	-	D	TRUE	0
DQ859378	United States	239	234	-	F	TRUE	0
DQ859379	United States	308	306	-	D	TRUE	0
DQ859380	United States	263	262	-	D	TRUE	0
DQ859381	United States	266	264	-	D	TRUE	0
DQ859382	United States	267	265	-	D	TRUE	0
DQ859383	United States	267	265	-	D	TRUE	0
DQ859384	United States	295	294	-	A	TRUE	0
DQ859385	United States	298	296	-	D	TRUE	0
DQ859386	United States	263	261	-	D	TRUE	0
DQ859387	United States	265	261	-	F	TRUE	0
DQ859388	United States	309	303	-	E/C/D/A	TRUE	0
DQ859389	United States	303	299	-	D	TRUE	0
DQ859390	United States	260	256	-	F	TRUE	0
DQ859391	United States	264	263	-	D	TRUE	0
DQ859392	United States	286	284	-	D	TRUE	0
DQ859393	United States	306	305	-	D	TRUE	0
DQ859394	United States	242	240	-	D	TRUE	0
DQ859395	United States	307	307	-	A	TRUE	0
DQ859396	United States	258	256	-	D	TRUE	0
DQ859397	United States	313	312	-	A	TRUE	0
DQ859398	United States	255	253	-	D	TRUE	0
DQ859399	United States	260	258	-	D	TRUE	0
DQ859400	United States	251	249	-	D	TRUE	0
DQ859401	United States	286	285	-	D	TRUE	0
DQ859402	United States	266	265	-	D	TRUE	0
DQ859403	United States	260	259	-	D	TRUE	0
DQ859404	United States	286	284	-	D	TRUE	0
DQ859405	United States	245	242	-	F	TRUE	0
DQ859406	United States	243	241	-	F	TRUE	0
DQ859407	United States	260	258	-	C	TRUE	0
DQ859408	United States	268	264	-	D	TRUE	0
DQ859409	United States	217	217	-	F	TRUE	0
DQ859410	United States	264	262	-	D	TRUE	0
DQ859411	United States	289	288	-	D	TRUE	0
DQ859412	United States	283	281	-	A	TRUE	0
DQ859413	United States	256	253	-	D	TRUE	0
DQ859414	United States	269	267	-	F	TRUE	0
DQ859415	United States	306	303	-	F	TRUE	0
DQ859416	United States	297	292	-	F	TRUE	0
DQ859417	United States	281	277	-	F	TRUE	0
DQ859418	United States	271	271	-	F	TRUE	0
DQ859419	United States	304	300	-	D	TRUE	0
DQ859420	United States	259	256	-	D	TRUE	0
DQ859421	United States	260	258	-	D	TRUE	0
DQ859422	United States	284	282	-	D	TRUE	0
DQ859423	United States	252	249	-	D	TRUE	0
DQ859424	United States	271	269	-	D	TRUE	0
DQ859425	United States	228	227	-	B	TRUE	0
DQ859426	United States	298	293	-	D	TRUE	0
DQ859427	United States	283	280	-	D	TRUE	0
DQ859428	United States	252	249	-	F	TRUE	0
DQ859429	United States	291	288	-	D	TRUE	0
DQ859430	United States	251	249	-	D	TRUE	0
DQ859431	United States	229	227	-	D	TRUE	0
DQ859432	United States	266	264	-	D	TRUE	0
DQ859433	United States	241	240	-	A	TRUE	0
DQ859434	United States	305	303	-	D	TRUE	0
DQ859435	United States	261	259	-	D	TRUE	0
DQ859436	United States	246	243	-	D	TRUE	0
DQ859437	United States	257	255	-	D	TRUE	0
DQ859438	United States	254	252	-	A	TRUE	0
DQ859439	United States	283	281	-	D	TRUE	0
DQ859440	United States	314	312	-	D	TRUE	0
DQ859441	United States	264	262	-	D	TRUE	0
DQ859442	United States	249	246	-	D	TRUE	0
DQ859443	United States	297	294	-	D	TRUE	0
DQ859444	United States	264	261	-	D	TRUE	0
DQ859445	United States	271	269	-	D	TRUE	0
DQ859446	United States	301	298	-	D	TRUE	0
DQ859447	United States	264	261	-	D	TRUE	0
DQ859448	United States	242	240	-	D	TRUE	0
DQ859449	United States	285	282	-	D	TRUE	0
DQ859450	United States	230	228	-	D	TRUE	0
DQ859451	United States	259	258	-	F/H/D	TRUE	0
DQ859452	United States	255	250	-	D/A/E/B/C/I/G	TRUE	0
DQ859453	United States	264	262	-	A	TRUE	0
DQ859454	United States	288	286	-	D	TRUE	0
DQ859455	United States	242	241	-	D	TRUE	0
DQ859456	United States	265	263	-	D	TRUE	0
DQ859457	United States	262	258	-	F	TRUE	0
DQ859458	United States	301	299	-	D	TRUE	0
DQ859460	United States	268	264	-	F	TRUE	0
DQ859461	United States	301	295	-	F	TRUE	0
DQ859462	United States	256	255	-	A	TRUE	0
DQ859464	United States	246	245	-	F	TRUE	0
DQ859465	United States	239	237	-	D	TRUE	0
DQ859466	United States	290	288	-	F	TRUE	0
DQ859467	United States	296	287	-	F/E/D	TRUE	0
DQ859468	United States	277	276	-	A	TRUE	0
DQ859469	United States	289	286	-	D	TRUE	0
DQ859470	United States	289	286	-	C	TRUE	0
DQ859471	United States	314	310	-	D	TRUE	0
DQ859472	United States	296	294	-	D	TRUE	0
DQ859473	United States	215	215	-	D	TRUE	0
DQ859474	United States	243	241	-	A	TRUE	0
DQ859475	United States	252	248	-	D/F	TRUE	0
DQ859476	United States	267	265	-	C	TRUE	0
DQ859477	United States	263	262	-	A	TRUE	0
DQ859478	United States	257	255	-	A	TRUE	0
DQ859479	United States	260	258	-	D	TRUE	0
DQ859480	United States	263	262	-	A	TRUE	0
DQ859481	United States	260	258	-	D	TRUE	0
DQ859482	United States	242	241	-	D	TRUE	0
DQ859483	United States	245	242	-	F	TRUE	0
DQ859484	United States	253	252	-	D	TRUE	0
DQ859485	United States	239	239	-	F	TRUE	0
DQ859486	United States	244	243	-	F	TRUE	0
DQ859487	United States	255	253	-	D	TRUE	0
DQ859488	United States	269	267	-	F	TRUE	0
DQ859489	United States	260	259	-	B	TRUE	0
DQ859490	United States	263	261	-	D	TRUE	0
DQ859491	United States	264	261	-	D	TRUE	0
DQ859492	United States	212	212	-	A	TRUE	0
DQ859493	United States	225	224	-	D	TRUE	0
DQ859494	United States	277	276	-	A	TRUE	0
DQ859495	United States	348	347	-	D	TRUE	0
DQ859496	United States	272	269	-	A	TRUE	0
DQ859497	United States	262	261	-	A	TRUE	0
DQ859498	United States	347	344	-	C	TRUE	0
DQ859499	United States	337	336	-	A	TRUE	0
DQ859500	United States	336	334	-	D	TRUE	0
DQ859501	United States	289	287	-	D	TRUE	0
DQ859502	United States	268	267	-	C	TRUE	0
DQ859503	United States	291	289	-	C	TRUE	0
DQ859504	United States	322	320	-	D	TRUE	0
DQ859505	United States	293	292	-	F	TRUE	0
DQ859506	United States	297	288	-	D	TRUE	0
DQ859507	United States	278	276	-	D	TRUE	0
DQ859508	United States	321	319	-	D	TRUE	0
DQ859509	United States	298	296	-	D	TRUE	0
DQ859510	United States	289	286	-	D	TRUE	0
DQ859511	United States	316	312	-	D	TRUE	0
DQ859512	United States	308	304	-	D	TRUE	0
DQ859513	United States	315	314	-	A	TRUE	0
DQ859514	United States	255	252	-	D	TRUE	0
DQ859515	United States	296	295	-	A	TRUE	0
DQ859516	United States	281	279	-	D	TRUE	0
DQ859517	United States	251	249	-	D	TRUE	0
DQ859518	United States	303	300	-	D	TRUE	0
DQ859519	United States	262	260	-	D	TRUE	0
DQ859520	United States	265	261	-	D	TRUE	0
DQ859521	United States	262	258	-	D	TRUE	0
DQ859522	United States	297	296	-	A	TRUE	0
DQ859523	United States	244	242	-	D	TRUE	0
DQ859524	United States	248	243	-	D	TRUE	0
DQ859525	United States	263	262	-	C	TRUE	0
DQ859526	United States	244	241	-	D	TRUE	0
DQ859527	United States	288	287	-	C	TRUE	0
DQ859528	United States	295	291	-	D	TRUE	0
DQ859529	United States	255	254	-	D	TRUE	0
DQ859530	United States	254	252	-	D	TRUE	0
DQ859531	United States	259	255	-	D	TRUE	0
DQ859532	United States	276	270	-	D	TRUE	0
DQ859533	United States	310	309	-	A	TRUE	0
DQ859534	United States	299	298	-	A	TRUE	0
DQ859535	United States	221	217	-	D	TRUE	0
DQ859536	United States	332	329	-	C	TRUE	0
DQ859537	United States	265	260	-	D/I	TRUE	0
DQ859538	United States	293	291	-	C	TRUE	0
DQ859539	United States	253	250	-	D	TRUE	0
DQ859540	United States	254	252	-	D/F	TRUE	0
DQ859542	United States	279	274	-	B	TRUE	0
DQ859543	United States	234	232	-	F/D/H	TRUE	0
DQ859544	United States	267	264	-	B	TRUE	0
DQ859545	United States	235	235	-	B	TRUE	0
DQ859546	United States	258	257	-	B	TRUE	0
DQ859547	United States	283	278	-	B	TRUE	0
DQ859548	United States	258	255	-	B	TRUE	0
DQ859549	United States	229	226	-	B	TRUE	0
DQ859550	United States	227	225	-	B	TRUE	0
DQ859551	United States	286	285	-	D	TRUE	0
DQ859552	United States	298	297	-	D	TRUE	0
DQ859553	United States	257	256	-	D	TRUE	0
DQ859554	United States	222	220	-	D	TRUE	0
DQ859555	United States	296	295	-	D	TRUE	0
DQ859556	United States	246	244	-	D	TRUE	0
DQ859557	United States	266	266	-	D	TRUE	0
DQ859558	United States	328	327	-	D	TRUE	0
DQ859559	United States	264	264	-	D	TRUE	0
DQ859560	United States	297	297	-	D	TRUE	0
DQ859561	United States	256	253	-	D	TRUE	0
DQ859562	United States	274	272	-	A	TRUE	0
DQ859563	United States	243	240	-	F/D/B	TRUE	0
DQ859564	United States	250	250	-	D	TRUE	0
DQ859565	United States	319	319	-	D	TRUE	0
DQ859566	United States	252	248	-	D	TRUE	0
DQ859567	United States	236	233	-	D	TRUE	0
DQ859568	United States	249	247	-	D	TRUE	0
DQ859569	United States	274	274	-	D	TRUE	0
DQ859570	United States	263	262	-	D	TRUE	0
DQ859571	United States	257	256	-	F	TRUE	0
DQ859573	United States	324	324	-	B	TRUE	0
DQ859574	United States	258	258	-	B	TRUE	0
DQ859575	United States	251	249	-	A	TRUE	0
DQ859576	United States	327	325	-	F	TRUE	0
DQ859577	United States	235	233	-	B	TRUE	0
DQ859578	United States	242	238	-	B	TRUE	0
DQ859579	United States	266	266	-	A	TRUE	0
DQ859580	United States	264	263	-	B	TRUE	0
DQ859581	United States	275	274	-	F	TRUE	0
DQ859582	United States	288	286	-	B	TRUE	0
DQ859583	United States	267	266	-	B	TRUE	0
DQ859584	United States	283	283	-	B	TRUE	0
DQ859585	United States	239	238	-	F	TRUE	0
DQ859586	United States	277	276	-	D	TRUE	0
DQ859587	United States	252	251	-	B	TRUE	0
DQ859588	United States	299	299	-	F	TRUE	0
DQ859589	United States	267	265	-	D	TRUE	0
DQ859590	United States	234	231	-	D	TRUE	0
DQ859591	United States	274	273	-	A	TRUE	0
DQ859592	United States	268	268	-	D	TRUE	0
DQ859593	United States	230	228	-	B	TRUE	0
DQ859594	United States	219	214	-	D/B	TRUE	0
DQ859595	United States	228	228	-	D	TRUE	0
DQ859596	United States	239	236	-	D	TRUE	0
DQ859597	United States	243	241	-	B	TRUE	0
DQ859598	United States	227	224	-	D	TRUE	0
DQ859599	United States	236	234	-	A	TRUE	0
DQ859600	United States	222	219	-	D	TRUE	0
DQ859601	United States	230	228	-	F	TRUE	0
DQ859602	United States	211	208	-	D	TRUE	0
DQ859603	United States	242	241	-	D	TRUE	0
DQ859604	United States	219	218	-	D	TRUE	0
DQ859605	United States	261	258	-	C	TRUE	0
DQ859606	United States	242	242	-	F	TRUE	0
DQ859607	United States	262	261	-	A	TRUE	0
DQ859608	United States	235	229	-	D/F	TRUE	0
DQ859609	United States	249	247	-	F	TRUE	0
DQ859610	United States	236	234	-	D	TRUE	0
DQ859611	United States	235	235	-	D	TRUE	0
DQ859612	United States	208	207	-	A/C/D	TRUE	0
DQ859613	United States	249	248	-	B	TRUE	0
DQ859614	United States	251	251	-	D	TRUE	0
DQ859615	United States	235	234	-	D	TRUE	0
DQ859616	United States	206	203	-	D	TRUE	0
DQ859617	United States	252	250	-	D	TRUE	0
DQ859618	United States	226	224	-	D	TRUE	0
DQ859619	United States	313	313	-	D	TRUE	0
DQ859620	United States	243	240	-	D	TRUE	0
DQ859621	United States	237	234	-	D/B/I	TRUE	0
DQ859622	United States	291	289	-	B	TRUE	0
DQ859625	United States	268	267	-	A	TRUE	0
DQ859627	United States	237	233	-	D	TRUE	0
DQ859628	United States	249	247	-	D	TRUE	0
DQ859629	United States	267	266	-	D	TRUE	0
DQ859630	United States	254	251	-	D/B	TRUE	0
DQ859631	United States	233	233	-	D	TRUE	0
DQ859632	United States	299	299	-	D	TRUE	0
DQ859633	United States	258	257	-	F	TRUE	0
DQ859634	United States	236	235	-	D/B	TRUE	0
DQ859635	United States	241	236	-	F	TRUE	0
DQ859636	United States	245	240	-	F	TRUE	0
DQ859637	United States	243	241	-	F	TRUE	0
DQ859638	United States	291	287	-	F	TRUE	0
DQ859639	United States	263	257	-	F	TRUE	0
DQ859640	United States	246	240	-	F	TRUE	0
DQ859641	United States	254	249	-	F	TRUE	0
DQ859642	United States	255	250	-	F	TRUE	0
DQ859643	United States	241	237	-	F	TRUE	0
DQ859644	United States	256	250	-	F	TRUE	0
DQ859645	United States	252	247	-	D	TRUE	0
DQ859646	United States	253	250	-	D	TRUE	0
DQ859647	United States	284	275	-	F	TRUE	0
DQ859648	United States	258	254	-	D	TRUE	0
DQ859649	United States	244	241	-	D	TRUE	0
DQ859650	United States	299	296	-	D	TRUE	0
DQ859651	United States	247	241	-	D	TRUE	0
DQ859652	United States	234	230	-	D	TRUE	0
DQ859653	United States	251	247	-	D	TRUE	0
DQ859654	United States	271	271	-	A	TRUE	0
DQ859655	United States	270	264	-	D	TRUE	0
DQ859656	United States	268	265	-	D	TRUE	0
DQ859657	United States	256	252	-	D	TRUE	0
DQ859658	United States	264	261	-	D	TRUE	0
DQ859659	United States	258	256	-	D	TRUE	0
DQ859660	United States	219	216	-	D	TRUE	0
DQ859661	United States	251	249	-	A	TRUE	0
DQ859662	United States	207	202	-	A/F/D	TRUE	0
DQ859663	United States	257	253	-	D	TRUE	0
DQ859664	United States	242	240	-	C/B/F	TRUE	0
DQ859665	United States	207	204	-	D/A/E/F	TRUE	0
DQ859666	United States	239	235	-	F	TRUE	0
DQ859667	United States	268	264	-	D	TRUE	0
DQ859668	United States	262	259	-	D/F	TRUE	0
DQ859669	United States	262	258	-	H	TRUE	0
DQ859670	United States	254	253	-	D	TRUE	0
DQ859671	United States	230	229	-	D	TRUE	0
DQ859672	United States	224	223	-	D	TRUE	0
DQ859673	United States	258	256	-	D/B	TRUE	0
DQ859674	United States	258	256	-	D	TRUE	0
DQ859675	United States	299	296	-	D	TRUE	0
DQ859676	United States	328	323	-	D	TRUE	0
DQ859677	United States	263	262	-	D	TRUE	0
DQ859678	United States	254	254	-	C	TRUE	0
DQ859679	United States	261	257	-	D	TRUE	0
DQ859680	United States	341	339	-	A	TRUE	0
DQ859681	United States	256	253	-	D	TRUE	0
DQ859682	United States	298	295	-	F	TRUE	0
DQ859683	United States	255	253	-	D	TRUE	0
DQ859684	United States	227	222	-	F	TRUE	0
DQ859685	United States	238	238	-	D	TRUE	0
DQ859686	United States	279	273	-	D	TRUE	0
DQ859687	United States	241	240	-	A	TRUE	0
DQ859688	United States	245	243	-	D	TRUE	0
DQ859689	United States	253	252	-	D	TRUE	0
DQ859690	United States	254	252	-	D	TRUE	0
DQ859691	United States	250	248	-	D	TRUE	0
DQ859692	United States	254	250	-	D	TRUE	0
DQ859693	United States	269	266	-	D	TRUE	0
DQ859694	United States	239	238	-	D	TRUE	0
DQ859695	United States	251	248	-	D	TRUE	0
DQ859696	United States	256	253	-	D	TRUE	0
DQ859697	United States	237	235	-	D	TRUE	0
DQ859698	United States	252	249	-	D	TRUE	0
DQ859699	United States	256	255	-	D	TRUE	0
DQ859700	United States	226	223	-	D	TRUE	0
DQ859701	United States	250	246	-	D	TRUE	0
DQ859702	United States	235	235	-	D	TRUE	0
DQ859703	United States	258	254	-	D	TRUE	0
DQ859704	United States	243	240	-	D	TRUE	0
DQ859705	United States	252	249	-	D	TRUE	0
DQ859706	United States	229	226	-	D	TRUE	0
DQ859707	United States	260	258	-	D	TRUE	0
DQ859708	United States	222	219	-	D/F	TRUE	0
DQ859709	United States	249	247	-	D	TRUE	0
DQ859710	United States	248	244	-	D	TRUE	0
DQ859711	United States	361	361	-	F	TRUE	0
DQ859712	United States	360	360	-	D	TRUE	0
DQ859713	United States	360	360	-	D	TRUE	0
DQ859714	United States	335	333	-	D	TRUE	0
DQ859715	United States	360	360	-	D	TRUE	0
DQ859716	United States	360	360	-	D	TRUE	0
DQ859717	United States	360	360	-	D	TRUE	0
DQ859718	United States	360	360	-	D	TRUE	0
DQ859719	United States	361	361	-	D	TRUE	0
DQ859720	United States	347	347	-	D	TRUE	0
DQ859721	United States	360	360	-	D	TRUE	0
DQ862555	United States	410	410	B	B	FALSE	0
DQ862556	United States	410	410	F	F	FALSE	0
DQ862557	United States	410	410	F	F	FALSE	0
DQ862558	United States	410	410	F	F	FALSE	0
DQ862559	United States	410	410	F	F	FALSE	0
DQ862560	United States	410	410	D	D	FALSE	0
DQ862561	United States	410	410	D	D	FALSE	0
DQ862562	United States	410	410	D	D	FALSE	0
DQ862563	United States	410	410	D	D	FALSE	0
DQ862564	United States	410	410	F	F	FALSE	0
DQ862565	United States	410	410	A	A	FALSE	0
DQ862566	United States	410	410	C	C	FALSE	0
DQ862567	United States	410	410	F	F	FALSE	0
DQ862568	United States	410	410	F	F	FALSE	0
DQ862569	United States	410	410	D	D	FALSE	0
DQ862570	United States	410	410	D	D	FALSE	0
DQ862571	United States	410	410	D	D	FALSE	0
DQ862572	United States	410	410	F	F	FALSE	0
DQ862573	United States	410	410	F	F	FALSE	0
DQ862574	United States	410	410	F	F	FALSE	0
DQ862575	United States	410	410	F	F	FALSE	0
DQ862576	United States	410	410	B	B	FALSE	0
DQ862577	United States	410	410	F	F	FALSE	0
DQ862578	United States	410	410	F	F	FALSE	0
DQ862579	United States	410	410	D	D	FALSE	0
DQ862580	United States	410	410	C	C	FALSE	0
DQ862581	United States	410	410	B	B	FALSE	0
DQ862582	United States	410	410	F	F	FALSE	0
DQ862583	United States	410	410	F	F	FALSE	0
DQ862584	United States	410	410	F	F	FALSE	0
DQ862585	United States	410	410	F	F	FALSE	0
DQ862586	United States	410	410	F	F	FALSE	0
DQ862587	United States	410	410	D	D	FALSE	0
DQ862588	United States	410	410	A	A	FALSE	0
DQ862589	United States	410	410	B	B	FALSE	0
DQ862590	United States	410	410	D	D	FALSE	0
DQ862591	United States	410	410	F	F	FALSE	0
DQ862592	United States	410	410	C	C	FALSE	0
DQ862593	United States	410	410	A	A	FALSE	0
DQ862594	United States	410	410	D	D	FALSE	0
DQ862595	United States	410	410	B	B	FALSE	0
DQ862596	United States	410	410	D	D	FALSE	0
DQ862597	United States	410	410	F	F	FALSE	0
DQ862598	United States	410	410	F	F	FALSE	0
DQ862599	United States	410	410	F	F	FALSE	0
DQ862600	United States	410	410	B	B	FALSE	0
DQ862601	United States	410	410	B	B	FALSE	0
DQ862602	United States	410	410	B	B	FALSE	0
DQ862603	United States	410	410	D	D	FALSE	0
DQ862604	United States	410	410	D	D	FALSE	0
DQ862605	United States	410	410	F	F	FALSE	0
DQ862606	United States	410	410	D	D	FALSE	0
DQ862607	United States	410	410	D	D	FALSE	0
DQ862608	United States	410	410	D	D	FALSE	0
DQ862609	United States	410	410	A	A	FALSE	0
DQ862610	United States	410	410	F	F	FALSE	0
DQ862611	United States	410	410	D	D	FALSE	0
DQ862612	United States	410	410	B	B	FALSE	0
DQ862613	United States	410	410	D	D	FALSE	0
DQ862614	United States	410	410	A	A	FALSE	0
DQ862615	United States	410	410	A	A	FALSE	0
DQ862616	United States	410	410	F	F	FALSE	0
DQ862617	United States	410	410	F	F	FALSE	0
DQ862618	United States	410	410	F	F	FALSE	0
DQ862619	United States	410	410	A	A	FALSE	0
DQ862620	United States	410	410	D	D	FALSE	0
DQ862621	United States	410	410	D	D	FALSE	0
DQ862622	United States	422	422	C	C	FALSE	0
DQ862623	United States	410	410	F	F	FALSE	0
DQ862624	United States	410	410	D	D	FALSE	0
DQ862625	United States	410	410	D	D	FALSE	0
DQ862626	United States	410	410	D	D	FALSE	0
DQ862627	United States	410	410	D	D	FALSE	0
DQ862628	United States	410	410	D	D	FALSE	0
DQ862629	United States	410	410	D	D	FALSE	0
DQ862630	United States	410	410	D	D	FALSE	0
DQ862631	United States	410	410	D	D	FALSE	0
DQ862632	United States	410	410	D	D	FALSE	0
DQ862633	United States	410	410	D	D	FALSE	0
DQ862634	United States	410	410	B	B	FALSE	0
DQ862635	United States	410	410	D	D	FALSE	0
DQ862636	United States	410	410	D	D	FALSE	0
DQ862637	United States	410	410	A	A	FALSE	0
DQ862638	United States	410	410	A	A	FALSE	0
DQ862639	United States	410	410	A	A	FALSE	0
DQ862640	United States	410	410	A	A	FALSE	0
DQ862641	United States	410	410	D	D	FALSE	0
DQ862642	United States	410	410	F	F	FALSE	0
DQ862643	United States	410	410	D	D	FALSE	0
DQ862644	United States	410	410	D	D	FALSE	0
DQ862645	United States	410	410	D	D	FALSE	0
DQ862646	United States	410	410	C	C	FALSE	0
DQ862647	United States	410	410	D	D	FALSE	0
DQ862648	United States	410	410	A	A	FALSE	0
DQ862649	United States	410	410	C	C	FALSE	0
DQ862650	United States	410	410	C	C	FALSE	0
DQ862651	United States	410	410	C	C	FALSE	0
DQ862652	United States	410	410	C	C	FALSE	0
DQ862653	United States	410	410	C	C	FALSE	0
DQ862654	United States	410	410	C	C	FALSE	0
DQ862655	United States	410	410	C	C	FALSE	0
DQ862656	United States	410	410	A	A	FALSE	0
DQ862657	United States	410	410	D	D	FALSE	0
DQ862658	United States	410	410	C	C	FALSE	0
DQ862659	United States	410	410	B	B	FALSE	0
DQ862660	United States	410	410	D	D	FALSE	0
DQ862661	United States	410	410	D	D	FALSE	0
DQ862662	United States	410	410	D	D	FALSE	0
DQ862663	United States	410	410	A	A	FALSE	0
DQ862664	United States	422	422	C	C	FALSE	0
DQ862665	United States	410	410	D	D	FALSE	0
DQ862666	United States	410	410	D	D	FALSE	0
DQ862667	United States	410	410	D	D	FALSE	0
DQ862668	United States	410	410	D	D	FALSE	0
DQ862669	United States	410	410	D	D	FALSE	0
DQ862670	United States	410	410	D	D	FALSE	0
DQ862671	United States	410	410	D	D	FALSE	0
DQ862672	United States	410	410	D	D	FALSE	0
DQ862673	United States	410	410	D	D	FALSE	0
DQ862674	United States	410	410	F	F	FALSE	0
DQ862675	United States	410	410	F	F	FALSE	0
DQ862676	United States	410	410	C	C	FALSE	0
DQ862677	United States	380	380	D	D	FALSE	0
DQ862678	United States	410	410	D	D	FALSE	0
DQ862679	United States	410	410	D	D	FALSE	0
DQ862680	United States	410	410	C	C	FALSE	0
DQ862681	United States	410	410	D	D	FALSE	0
DQ862682	United States	410	410	C	C	FALSE	0
DQ862683	United States	410	410	D	D	FALSE	0
DQ862684	United States	410	410	D	D	FALSE	0
DQ862685	United States	410	410	D	D	FALSE	0
DQ862686	United States	410	410	B	B	FALSE	0
DQ862687	United States	410	410	C	C	FALSE	0
DQ862688	United States	410	410	F	F	FALSE	0
DQ862689	United States	410	410	D	D	FALSE	0
DQ862690	United States	410	410	D	D	FALSE	0
DQ862691	United States	410	410	D	D	FALSE	0
DQ862692	United States	410	410	D	D	FALSE	0
DQ862693	United States	410	410	D	D	FALSE	0
DQ862694	United States	410	410	D	D	FALSE	0
DQ862695	United States	410	410	C	C	FALSE	0
DQ862696	United States	410	410	D	D	FALSE	0
DQ862697	United States	410	410	D	D	FALSE	0
DQ862698	United States	410	410	C	C	FALSE	0
DQ862699	United States	410	410	D	D	FALSE	0
DQ862700	United States	410	410	D	D	FALSE	0
DQ862701	United States	410	410	B	B	FALSE	0
DQ862702	United States	410	410	D	D	FALSE	0
DQ862703	United States	410	410	D	D	FALSE	0
DQ862704	United States	410	410	D	D	FALSE	0
DQ862705	United States	410	410	D	D	FALSE	0
DQ862706	United States	410	410	D	D	FALSE	0
DQ862707	United States	410	410	D	D	FALSE	0
DQ862708	United States	410	410	D	D	FALSE	0
DQ862709	United States	410	410	F	F	FALSE	0
DQ862710	United States	410	410	A	A	FALSE	0
DQ862711	United States	410	410	A	A	FALSE	0
DQ862712	United States	410	410	D	D	FALSE	0
DQ862713	United States	410	410	D	D	FALSE	0
DQ862714	United States	410	410	D	D	FALSE	0
DQ862715	United States	410	410	D	D	FALSE	0
DQ862716	United States	410	410	D	D	FALSE	0
DQ862717	United States	410	410	D	D	FALSE	0
DQ862718	United States	410	410	D	D	FALSE	0
DQ862719	United States	410	410	D	D	FALSE	0
DQ862720	United States	410	410	D	D	FALSE	0
DQ862721	United States	410	410	D	D	FALSE	0
DQ862722	United States	410	410	D	D	FALSE	0
DQ862723	United States	410	410	D	D	FALSE	0
DQ862724	United States	410	410	D	D	FALSE	0
DQ862725	United States	410	410	D	D	FALSE	0
DQ862726	United States	410	410	D	D	FALSE	0
DQ862727	United States	410	410	D	D	FALSE	0
DQ862728	United States	410	410	D	D	FALSE	0
DQ862729	United States	410	410	D	D	FALSE	0
DQ862730	United States	410	410	D	D	FALSE	0
DQ862731	United States	410	410	D	D	FALSE	0
DQ862732	United States	410	410	D	D	FALSE	0
DQ862733	United States	410	410	D	D	FALSE	0
DQ862734	United States	410	410	D	D	FALSE	0
DQ862735	United States	410	410	C	C	FALSE	0
DQ862736	United States	410	410	C	C	FALSE	0
DQ862737	United States	410	410	D	D	FALSE	0
DQ862738	United States	410	410	D	D	FALSE	0
DQ862739	United States	410	410	C	C	FALSE	0
DQ862740	United States	410	410	F	F	FALSE	0
DQ862741	United States	410	410	F	F	FALSE	0
DQ862742	United States	410	410	C	C	FALSE	0
DQ862743	United States	410	410	D	D	FALSE	0
DQ862744	United States	410	410	C	C	FALSE	0
DQ862745	United States	410	410	C	C	FALSE	0
DQ862746	United States	410	410	F	F	FALSE	0
DQ862747	United States	410	410	F	F	FALSE	0
DQ862748	United States	410	410	D	D	FALSE	0
DQ862749	United States	410	410	D	D	FALSE	0
DQ862750	United States	410	410	D	D	FALSE	0
DQ862751	United States	410	410	D	D	FALSE	0
DQ862752	United States	410	410	D	D	FALSE	0
